GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/16/2014 2:13:58 PM;8/16/2014 2:47:54 PM;X-am 7000;ARAA0092;1;PERSONAL-ID;2.02W;;1.00
GASTYPE;;Isobutene;ch4;NH3;NO;O2;
UNITNAME;;ppm;%LEL;ppm;ppm;Vol%;
VAL;8/16/2014 2:15:01 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:02 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:03 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:04 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:05 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:06 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:07 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:08 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:09 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:10 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:11 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:12 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:13 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:14 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:15 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:16 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:17 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:18 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:19 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:20 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:21 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:22 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:23 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:24 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:25 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:26 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:27 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:28 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:29 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:30 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:31 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:32 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:33 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:34 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:35 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:36 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:37 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:38 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:39 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:40 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:41 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:42 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:43 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:44 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:45 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:46 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:47 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:48 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:49 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:50 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:51 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:52 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:53 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:54 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:55 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:56 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:57 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:58 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:15:59 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:00 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:01 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:02 PM;NEG;0.000;NEG;0.000;20.90;
VAL;8/16/2014 2:16:03 PM;NEG;0.000;NEG;0.000;20.90;
