GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/20/2014 11:13:50 AM;8/20/2014 12:55:41 PM;X-am 7000;ARAA0092;1;PERSONAL-ID;2.02W;;1.00
GASTYPE;;Isobutene;ch4;NH3;NO;O2;
UNITNAME;;ppm;%LEL;ppm;ppm;Vol%;
VAL;8/20/2014 11:14:53 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:14:54 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:14:55 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:14:56 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:14:57 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:14:58 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:14:59 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:00 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:01 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:02 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:03 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:04 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:05 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:06 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:07 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:08 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:09 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:10 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:11 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:12 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:13 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:14 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:15 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:16 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:17 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:18 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:19 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:20 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:21 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:22 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:23 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:24 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:25 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:26 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:27 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:28 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:29 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:30 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:31 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:32 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:33 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:34 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:35 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:36 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:37 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:38 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:39 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:40 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:41 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:42 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:43 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:44 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:45 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:46 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:47 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:48 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:49 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:50 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:51 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:52 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:53 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:54 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:55 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:56 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:57 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:58 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:15:59 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:00 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:01 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:02 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:03 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:04 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:05 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:06 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:07 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:08 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:09 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:10 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:11 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:12 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:13 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:14 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:15 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:16 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:17 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:18 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:19 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:20 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:21 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:22 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:23 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:24 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:25 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:26 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:27 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:28 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:29 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:30 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:31 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:32 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:33 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:34 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:35 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:36 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:37 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:38 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:39 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:40 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:41 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:42 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:43 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:44 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:45 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:46 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:47 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:48 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:49 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:50 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:51 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:52 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:53 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:54 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:55 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:56 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:57 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:58 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:16:59 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:00 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:01 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:02 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:03 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:04 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:05 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:06 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:07 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:08 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:09 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:10 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:11 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:12 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:13 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:14 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:15 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:16 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:17 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:18 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:19 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:20 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:21 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:22 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:23 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:24 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:25 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:26 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:27 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:28 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:29 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:17:30 AM;NEG;0.000;0.000;0.000;20.90;
