GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/12/2014 5:20:16 PM;8/12/2014 7:02:50 PM;X-am 7000;ARYD0215;1;DLD;2.02W
GASTYPE;;ch4;CO2;SO2;CO;NH3;
UNITNAME;;%LIE;Vol%;ppm;ppm;ppm;
VAL;8/12/2014 5:21:20 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:21 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:22 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:23 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:24 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:25 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:26 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:27 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:28 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:29 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:30 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:31 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:32 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:33 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:34 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:35 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:36 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:37 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:38 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:39 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:40 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:41 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:42 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:43 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:44 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:45 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:46 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:47 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:48 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:49 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:50 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:51 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:52 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:53 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:54 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:55 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:56 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:57 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:58 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:21:59 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:00 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:01 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:02 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:03 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:04 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:05 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:06 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:07 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:08 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:09 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:10 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:11 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:12 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:13 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:14 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:15 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:16 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:17 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:18 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:19 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:20 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:21 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:22 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:23 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:24 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:25 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:26 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:27 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:28 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:29 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:30 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:31 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:32 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:33 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:34 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:35 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:36 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:37 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:38 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:39 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:40 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:41 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:42 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:43 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:22:44 PM;0.000;0.059;0.000;0.000;0.000;
