GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/19/2014 12:20:29 PM;8/19/2014 2:01:04 PM;X-am 7000;ARAA0098;1;PERSONAL-ID;2.02W
GASTYPE;;CH4;CO2;CO;NH3;SO2;
UNITNAME;;Vol%;Vol%;ppm;ppm;ppm;
VAL;8/19/2014 12:22:01 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:02 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:03 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:04 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:05 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:06 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:07 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:08 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:09 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:10 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:11 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:12 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:13 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:14 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:15 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:16 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:17 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:18 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:19 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:20 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:21 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:22 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:23 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:24 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:25 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:26 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:27 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:28 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:29 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:30 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:31 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:32 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:33 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:34 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:35 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:36 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:37 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:38 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:39 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:40 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:41 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:42 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:43 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:44 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:45 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:46 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:47 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:48 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:49 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:50 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:22:51 PM;0.000;0.009;NEG;NEG;0.000;
